Radius(cm)            Angle_hori   Z(cm)   Angle_vert  X   D=Brho/Broh0   Kinetic_Energy(MeV)  
5.0097787225777660E+02 0 0.0 0.0 0.0 0.7586 o   89
5.0132088946280652E+02 0 0.0 0.0 0.0 0.763044 o 90
5.0166036255753613E+02 0 0.0 0.0 0.0 0.767466 o 91
5.0199799475261096E+02 0 0.0 0.0 0.0 0.771867 o 92
5.0233218643840047E+02 0 0.0 0.0 0.0 0.776248 o 93
5.0266108713926315E+02 0 0.0 0.0 0.0 0.780608 o 94
5.0298726004134608E+02 0 0.0 0.0 0.0 0.784949 o 95
5.0331021780124746E+02 0 0.0 0.0 0.0 0.789269 o 96
5.0362962525287048E+02 0 0.0 0.0 0.0 0.793571 o 97
5.0394584470165375E+02 0 0.0 0.0 0.0 0.797853 o 98
5.0425831137640097E+02 0 0.0 0.0 0.0 0.802116 o 99
5.0457027682877901E+02 0 0.0 0.0 0.0 0.806361 o 100
5.0488187890972506E+02 0 0.0 0.0 0.0 0.810588 o 101
5.0518777205332367E+02 0 0.0 0.0 0.0 0.814797 o 102
5.0549038482305167E+02 0 0.0 0.0 0.0 0.818988 o 103
5.0578972437009463E+02 0 0.0 0.0 0.0 0.823162 o 104
5.0608692076167716E+02 0 0.0 0.0 0.0 0.827319 o 105
5.0638272468936088E+02 0 0.0 0.0 0.0 0.831459 o 106
5.0667542068819830E+02 0 0.0 0.0 0.0 0.835582 o 107
5.0696586340025766E+02 0 0.0 0.0 0.0 0.839689 o 108
5.0725283917759896E+02 0 0.0 0.0 0.0 0.84378 o  109
5.0753954673826405E+02 0 0.0 0.0 0.0 0.847855 o 110
5.0782260986781068E+02 0 0.0 0.0 0.0 0.851915 o 111
5.0810265914561410E+02 0 0.0 0.0 0.0 0.855959 o 112
5.0838074916576278E+02 0 0.0 0.0 0.0 0.859988 o 113
5.0865715383594051E+02 0 0.0 0.0 0.0 0.864002 o 114
5.0893030430371499E+02 0 0.0 0.0 0.0 0.868001 o 115
5.0920337255485771E+02 0 0.0 0.0 0.0 0.871985 o 116
5.0947294678597416E+02 0 0.0 0.0 0.0 0.875956 o 117
5.0973839127599467E+02 0 0.0 0.0 0.0 0.879912 o 118
5.1000224232076886E+02 0 0.0 0.0 0.0 0.883854 o 119
5.1026486046354063E+02 0 0.0 0.0 0.0 0.887782 o 120 
5.1053021869419530E+02 0 0.0 0.0 0.0 0.891697 o 121
5.1079088142991139E+02 0 0.0 0.0 0.0 0.895598 o 122
5.1104915459101670E+02 0 0.0 0.0 0.0 0.899486 o 123
5.1130578802177718E+02 0 0.0 0.0 0.0 0.903361 o 124
5.1156030348784589E+02 0 0.0 0.0 0.0 0.907223 o 125
5.1181372938760876E+02 0 0.0 0.0 0.0 0.911072 o 126
5.1206531500663027E+02 0 0.0 0.0 0.0 0.914908 o 127
5.1231390659610258E+02 0 0.0 0.0 0.0 0.918733 o 128
5.1256184772714244E+02 0 0.0 0.0 0.0 0.922544 o 129
5.1280686998660940E+02 0 0.0 0.0 0.0 0.926344 o 130
5.1305124024842246E+02 0 0.0 0.0 0.0 0.930132 o 131
5.1329515707306018E+02 0 0.0 0.0 0.0 0.933908 o 132
5.1353593546849606E+02 0 0.0 0.0 0.0 0.937672 o 133
5.1377416521729231E+02 0 0.0 0.0 0.0 0.941424 o 134
5.1401168072001303E+02 0 0.0 0.0 0.0 0.945166 o 135
5.1424707365658378E+02 0 0.0 0.0 0.0 0.948895 o 136
5.1448152699109005E+02 0 0.0 0.0 0.0 0.952614 o 137
5.1471480622382433E+02 0 0.0 0.0 0.0 0.956322 o 138
5.1494559977886274E+02 0 0.0 0.0 0.0 0.960019 o 139
