kinetic_Energy(MeV) Momentum(MeV/c)   qx(cell)   qy(cell)    Q_x   Q_y	 Radius(m)  Ave_radius(m) tau_cell(micro_sec)   revolu_time(micro_sec)
66 358.061	0.317182 0.114997 3.80619 1.37997	4.91901	5.12573 2.510893E-02 0.301307
67 360.857	0.316183 0.115257 3.7942 1.38308	4.92352	5.13036 2.496180E-02 0.299542
68 363.633	0.316642 0.11547 3.7997 1.38564	4.92796	5.13482 2.481738E-02 0.297809
69 366.391	0.317049 0.11568 3.80459 1.38816	4.93236	5.13933 2.467668E-02 0.29612
70 369.131	0.317231 0.115854 3.80677 1.39025	4.93672	5.1437 2.453868E-02 0.294464
71 371.854	0.316427 0.115964 3.79712 1.39157	4.94101	5.14801 2.440359E-02 0.292843
72 374.56	0.316327 0.116002 3.79593 1.39202	4.94524	5.15236 2.427180E-02 0.291262
73 377.249	0.316854 0.115997 3.80225 1.39196	4.9494	5.15653 2.414219E-02 0.289706
74 379.922	0.317061 0.115962 3.80473 1.39154	4.95352	5.16067 2.401532E-02 0.288184
75 382.578	0.316974 0.115929 3.80369 1.39115	4.95757	5.16485 2.389145E-02 0.286697
76 385.219	0.316389 0.11586 3.79667 1.39032	4.96159	5.16891 2.376978E-02 0.285237
77 387.844	0.316733 0.115743 3.80079 1.38891	4.96558	5.17289 2.365032E-02 0.283804
78 390.454	0.317105 0.115618 3.80526 1.38742	4.9695	5.17691 2.353363E-02 0.282404
79 393.05	0.317222 0.115475 3.80666 1.3857	4.97335	5.18079 2.341879E-02 0.281025
80 395.631	0.317123 0.11534 3.80547 1.38408	4.97716	5.18466 2.330627E-02 0.279675
81 398.197	0.316606 0.115166 3.79927 1.38199	4.98094	5.18854 2.319614E-02 0.278354
82 400.751	0.316831 0.114993 3.80197 1.37992	4.98467	5.19228 2.308762E-02 0.277051
83 403.289	0.317202 0.114796 3.80643 1.37755	4.98837	5.19607 2.298151E-02 0.275778
84 405.815	0.317221 0.114614 3.80665 1.37537	4.99205	5.19973 2.287692E-02 0.274523
85 408.328	0.317332 0.114428 3.80798 1.37314	4.99568	5.20338 2.277437E-02 0.273292
86 410.827	0.316995 0.114218 3.80394 1.37061	4.99925	5.20705 2.267392E-02 0.272087
87 413.314	0.316666 0.11403 3.79999 1.36836	5.0028	5.21058 2.257479E-02 0.270897
88 415.788	0.316964 0.113792 3.80357 1.3655	5.00631	5.21407 2.247737E-02 0.269728
89 418.251	0.317168 0.113591 3.80602 1.36309	5.00978	5.21762 2.238206E-02 0.268585
90 420.701	0.317348 0.113381 3.80817 1.36057	5.01321	5.22107 2.228809E-02 0.267457
91 423.139	0.317281 0.113155 3.80737 1.35786	5.0166	5.22445 2.219556E-02 0.266347
92 425.565	0.316949 0.11295 3.80339 1.3554	5.01998	5.2279 2.210502E-02 0.26526
93 427.981	0.316906 0.112711 3.80287 1.35253	5.02332	5.2312 2.201550E-02 0.264186
94 430.385	0.317229 0.112492 3.80675 1.34991	5.02661	5.23451 2.192764E-02 0.263132
95 432.778	0.317304 0.11225 3.80765 1.347	5.02987	5.23784 2.184141E-02 0.262097
96 435.16	0.317397 0.112036 3.80877 1.34443	5.0331	5.24105 2.175619E-02 0.261074
97 437.532	0.317528 0.111785 3.81034 1.34142	5.0363	5.24422 2.167229E-02 0.260067
98 439.893	0.317294 0.111552 3.80753 1.33862	5.03946	5.24745 2.159009E-02 0.259081
99 442.243	0.317052 0.111309 3.80462 1.33571	5.04258	5.2506 2.150896E-02 0.258108
100 444.584	0.317289 0.111063 3.80747 1.33276	5.0457	5.25371 2.142901E-02 0.257148
101 446.914	0.317192 0.11082 3.80631 1.32984	5.04882	5.25685 2.135057E-02 0.256207
102 449.235	0.316988 0.110582 3.80385 1.32699	5.05188	5.25986 2.127291E-02 0.255275
103 451.545	0.317163 0.110362 3.80595 1.32434	5.0549	5.26289 2.119657E-02 0.254359
104 453.847	0.317227 0.110105 3.80672 1.32126	5.0579	5.26588 2.112136E-02 0.253456
105 456.139	0.317111 0.109873 3.80533 1.31848	5.06087	5.26892 2.104751E-02 0.25257
106 458.421	0.317156 0.109619 3.80587 1.31543	5.06383	5.27182 2.097433E-02 0.251692
107 460.694	0.317317 0.109378 3.80781 1.31254	5.06675	5.27473 2.090234E-02 0.250828
108 462.959	0.317096 0.109136 3.80515 1.30963	5.06966	5.27768 2.083166E-02 0.24998
109 465.214	0.317057 0.108897 3.80469 1.30676	5.07253	5.28055 2.076174E-02 0.249141
110 467.461	0.317243 0.108637 3.80692 1.30365	5.0754	5.28335 2.069266E-02 0.248312
